H19:;;;H:;=B1+25-SUM(D5:D57)
OT19:;;;OT:;=ROUND(B2+SUM(C5:C57)/7.7+SUM(D5:D57)+SUM(E5:E57)-SUM(B4:OFFSET(B4,53-SUMPRODUCT(ISBLANK(C5:C57),ISBLANK(D5:D57),ISBLANK(E5:E57)),0)),2)

Week;Days;Worked;Holiday;Sick
2001;3.5;;;
2002;4;;;
2003;5;;;
2004;5;;;
2005;5;;;
2006;5;;;
2007;5;;;
2008;5;;;
2009;5;;;
2010;5;;;
2011;5;;;
2012;5;;;
2013;5;;;
2014;5;;;
2015;5;;;
2016;4;;;
2017;5;;;
2018;4;;;
2019;5;;;
2020;5;;;
2021;4;;;
2022;5;;;
2023;4;;;
2024;4;;;
2025;5;;;
2026;5;;;
2027;5;;;
2028;5;;;
2029;5;;;
2030;5;;;
2031;5;;;
2032;5;;;
2033;5;;;
2034;5;;;
2035;5;;;
2036;5;;;
2037;5;;;
2038;5;;;
2039;5;;;
2040;5;;;
2041;5;;;
2042;5;;;
2043;5;;;
2044;4;;;
2045;5;;;
2046;5;;;
2047;5;;;
2048;5;;;
2049;5;;;
2050;4;;;
2051;5;;;
2052;3.5;;;
2053;3.5;;;
